ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
21;"Wi-Fi точка № 1 в парке «Таганский»";"Таганская улица, дом 40-42";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788509";"37,66771771";"55,7383672";
22;"Wi-Fi точка № 2 в парке «Таганский»";"Таганская улица, дом 40-42";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788510";"37,66798733";"55,73837634";
23;"Wi-Fi точка № 3 в парке «Таганский»";"Таганская улица, дом 40-42";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788511";"37,66828206";"55,73834742";
24;"Wi-Fi точка № 4 в парке «Таганский»";"Таганская улица, дом 40-42";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788512";"37,6652328";"55,73844184";
25;"Wi-Fi точка № 1 в саду имени Баумана";"Старая Басманная улица, дом 15";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э. Баумана»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788513";"37,65957693";"55,76882482";
26;"Wi-Fi точка № 2 в саду имени Баумана";"Старая Басманная улица, дом 15";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э. Баумана»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788514";"37,65921646";"55,76881637";
27;"Wi-Fi точка № 3 в саду имени Баумана";"Старая Басманная улица, дом 15";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э. Баумана»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788515";"37,66009375";"55,76789556";
28;"Wi-Fi точка № 4 в саду имени Баумана";"Старая Басманная улица, дом 15";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э. Баумана»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788516";"37,66076236";"55,76646409";
29;"Wi-Fi точка № 5 в саду имени Баумана";"Старая Басманная улица, дом 15";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э. Баумана»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788517";"37,66075753";"55,76631438";
30;"Wi-Fi точка № 1 в парке «Бабушкинский»";"улица Менжинского, дом 6";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788518";"37,68046469";"55,86594655";
31;"Wi-Fi точка № 1 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788519";"37,56747547";"55,90042788";
32;"Wi-Fi точка № 1 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788520";"37,77245325";"55,73872099";
